F3_Haupteinkaufsstaette;F7_2_ERWARTUNGEN_1;F7_1.1_ZUFR_BEGR_offen
Lidl;5;Meist ist alles da was ich brauche zu einem guten Preis
Penny;5;Es gibt alles was ich für den täglichen Bedarf brauche. Sehr freundliches Personal!
Edeka;5;Toller markt
Rewe;5;Super
Netto (Rot);2;Netto hat bei uns sehr nachgelassen. wenig Auswahl an Gemüse und wenn unappetitlich. Oft leere Regale,z.B Sahne, Jogurts. Angebote oft nicht verfügbar
Penny;4;alles ok
Edeka;4;Stimme zu
Real;4;es passt alles
Edeka;4;k.A.
Aldi Nord;5;super
DM;4;die auswahl ist gut
Kaufland;4;Alles vorhanden, nur is die Fläche sehr groß und dauert länger alles zu finden
Rewe;5;Es ist ordentlich und sauber und es gibt eine große Auswahl.
Denn's;4;Alles super
Real;5;Alles super
Lidl;5;preiswert und gut,
Real;3;Kann dort mit meiner payback amex karte bezahlen und bekomme noch Extra Punke
Rewe;4;mag den Aufbau der Filiale, ein zwei Mitarbeiter könnten freundlicher sein
Rewe;4;Ich finde alles was ich will. Manchmal sind aber leider schon einige Saschen ausverkauft, wenn ich nach der Arbeit um 17:30 Uhr dahin komme
Kaufland;4;Alles OK
Edeka;4;sauberer Markt mit entsprechendem Sortiment
Real;5;Qualität Perfekt, Kundenservice
Rewe;5;sauer, gut erreichbar, sonderangebote
Real;5;Super
Lidl;5;alles übersichtlich, geht schnell
Aldi Nord;5;Das preis Leistungs verhältniss  stimmt und die Filiale ist gut erreichbar
Aldi Süd;4;in der Nähe, preiswert + gut
Lidl;5;Ich gehe gerne zu Lidl, finde dort alles was ich brauche. Ein sehr sauberer Laden, übersichtlich und strukturiert, große Auswahl und sehr freundliche Mitarbeiter
Lidl;5;Gut erreichbar und sortiert
Lidl;5;Sehr gute Filiale befindet sich gleich neben meiner Arbeitsstätte.
Lidl;3;Aufgeräumt, sauber, aber Kasse ist die Hölle
Lidl;5;alles frisch und sauber, nette verkäufer
Edeka;5;Gutes Sortiment, sehr freundliche Leute
Rewe;4;sauber, gut Erreichbar
Real;4;Mir gefällt der Laden sehr
Aldi Nord;4;billiger,personal simpathisch,neben meine wohnung
Edeka;4;Gibt nicht alles was ich möchte und ist teuer.
Lidl;2;Nicht alle Angebote sind immer am ersten Tag vorrätig.
Real;4;man bekommt fast alles für den täglichen gebrauch
Edeka;3;Angebot zu gering, da es ein kleinerer Markt ist
Edeka;3;Weil es auf dem Weg liegt
Aldi Süd;4;gut
Tegut;5;Umfassendes Angebot. Viel Regionales. Viel Bio.
Rewe;4;Gute Auswahl auch Marken günstig reigionale Produkte
Netto (Rot);5;Ich bin voll und ganz zufrieden und freundlich
Netto (Rot);5;Netto liegt auf meiner Einkaufsroute. Die Wae ist immer frich und günstig
Kaufland;4;Fast immer alles wie beworben vorhanden
Edeka;5;Mein Lieblingsladen!
Rewe;5;Man fühlt sich wohl und hat das Gefühl , man wird gekannt und man geht rispektvoll miteinander um .
Aldi Süd;5;Bekomme alles was ich brauche zu einem fairen Preis
Aldi Süd;5;man bekommt stets, was man sucht und das zu einem Preis, der es wert ist.
Netto (Rot);1;Unordentlich, unfreundlich, Ware nicht verfügbar
Edeka;4;Große Auswahl
Lidl;4;es könnte noch mehr vegae Produkte geben
Rewe;4;ist ordentlich, sauber, gutes sortiment
Rewe;3;Ware während öffnungszeiten verräumt
Lidl;4;gutes Personal,  gutes Obst und Gemüse
Rewe;4;es gibt eigentlich alles, was ich benötige. nur ist die filiale relativ klein und manchmal gibt es lange schlangen an der kasse
Aldi Nord;5;Kurzer Weg, freundliche Verkäufer
Rewe;4;freundliche und hilfsbereite mitabeiter
Edeka;5;Weil ich mich dort wohlfühle.
Kaufland;5;Immer frisch die Ware
Netto (Rot);4;Unübersichtlicher Aufbau Geringes Angebot Schlechte pbst und Gemüse Qualität
Aldi Süd;4;gutes Angebot
Edeka;4;-----------
Rewe;1;Meine Rewe-Filiale hat ständig leere Regale, nicht alle Wochen-Angebote sind verfügbar. Und die Hygiene und Reinlichkeit läßt auch sehr zu wünschen. Leider ständig verschmutzter Boden.
Lidl;3;es sind viele Produkte dort nicht erhältlich, deshalb der Einkauf noch bei Kaufland
Lidl;5;Sehr einfach und überzeugend
Rewe;5;Es gibt dort meine bevorzugten Lebensmittel, ich fühle mich beim Einkaufen dort wohl
Real;5;gut und günstig, alles drin
Lidl;5;Sehr übersichtlicher und gut geführter Lidl.Immer frische Ware.Gemüse /Obst Fleisch
Aldi Nord;5;Sauber, freundliches Personal, Ware immer reichlich
Edeka;5;es ist eine moderne große Filiale die mir alles bietet
Edeka;5;Ich hatte noch kein Besuch in dem ich nicht ein freundliches Hallo vom Personal erhalten habe. Aber nicht nur deshalb gehe ich gerne im Edeka einkaufen. Sondern hauptsächlich wegen den frisch zubereiteten Salaten und gesundem Müsli mit Quark Leinsamen und geriebenen Äpfeln.  Außerdem finde ich dort fast jedesmal neue Produkte bei denen die Kassiererin selbst etwas länger neugierig auf den Artikel schaut.
Kaufland;5;bekomme alles was ich brauche
Norma;4;Angebot mit Abschlägen
Aldi Nord;4;Bekomme alles was ich brauche
Edeka;2;Angebote sind meistens nicht ausreichend vorhanden
Lidl;4;sehr gut ausgestattet
Edeka;5;Alles immer frisch, gute Preis/Leistung,
Rewe;4;gute auswahl an produkten mit guter qualität...aber es könnte billiger sein
Rewe;4;Ich bekomme alles was ich möchte und finde einen sauberen und servieorientierten Laden vor.
Real;5;gutes Sortiment
Globus;5;Sauber, freundliches Personal
Netto (Schwarz);3;Keine Ahnung
Rewe;5;Ist immer sauber, gute Auswahl, nettes Personal
Netto (Rot);3;oft sind Artikel nicht vorrätig, das ist ärgerlich
Netto (Rot);4;gutes ambiente,große auswahl,gute qualität,preise ok
Edeka;4;Ich bekomme alles was ich zum Leben brauche
Aldi Süd;5;Es gibt viele günstige Angebote und Angebote Abends ist das Obst oft noch reduziert
Globus;4;Nah, schnell durch, Mann bekommt das meiste.
Rewe;4;I fide everything I need
Rewe;4;Große Auswahl an Bio und regionalen Produkten. Alles stets frisch
Netto (Rot);5;einfach so
Rewe;5;Das Geschäft ist vor Ort und gut sortiert
Rewe;5;weil es so ist
Norma;4;nicht alles im sortiment
Edeka;3;++
Aldi Süd;4;Saubere Filiale Freitag Nachmittag spärlich bestückte Obst & Gemüse
Lidl;4;Das Angebot an Bioprodukten könnte etwas mehr sein und auch mehr frisches Gemüse
Aldi Süd;5;Ich bekomme alles was ich für den wöchentlichen Einkauf brauche
Lidl;5;SeHr frisch bei Obst und Gemüse, günstige Eigenmarken mit super Geschmack.
Lidl;3;bauchgefühl
Lidl;4;ständig frisches Obst und Gemüse.
Aldi Nord;5;Gutes Preisleistungsverhältis
Aldi Süd;5;Immer genügend Kassen offen und kaum Wartezeit, Abzug da mir dort mein Geldbeutel bereits mal geklaut wurde, ansonsten sehr gut sortiert und aufgeräumt
Edeka;5;Tolle Auswahl an sessionalemy regionalem Obst und Gemüse. Breite Gänge, freundliches Personal und die frischetheke ist gut bestückt und wird kompetent bedient
Edeka;4;Ich bekomme hier fast alles was ich benötige.
Edeka;5;alles immer auf lager zu annehmbaren preisen
Rewe;4;Super sortiert
Edeka;3;earf
Kaufland;5;großes Sortiment, Preis-Leistung stimmt, frische Ware, sehr guter Service, hilfsbereite Mitarbeiter, sehr sauber
Aldi Süd;5;Alles super
Edeka;4;Haben alles was wir wünschen, auch die Mitarbeiter sind höflich und hilfsbereit
Lidl;4;frisches obst u gemüse
Amazon;3;3
Aldi Süd;4;Alles was ich brauche finde ich hier
Lidl;4;alles vorhanden für mich
Penny;4;gute Auswahl und wenig Kritikpunkte
Real;4;gut
Rewe;5;Rewe hat tolle Eigenprodukte, wie z.B. die Creme Brulèe? schmeckt köstlich
Penny;5;a Dinge des täglichen Bedarfs vorhanden
Edeka;4;Es gibt alles, was ich suche
Rewe;4;gute Auswahl, manchmal zu wenig
Netto (Rot);3;Man  bekommt nicht alles
Lidl;4;ist ok
Globus;4;Ich finde alles das, was ich meistens benötige
Aldi Süd;5;Preis- Leistung stimmt. Alles sauber
Netto (Rot);5;kaufe schon lang dort ein
Lidl;5;sehr freundliches personal, liegt auf dem weg, sauber, viel auswahl und frisches obst/gemüse
Edeka;4;Sonderangebote sind teilweise ausverkauft oder kommen erst in laufe der wochr
Aldi Nord;4;Gute Preise, fast immer alles verfügbar.
Edeka;4;modrn, sauber, übersichtlich
Rewe;5;immer gute qualität
Rewe;5;Die REWE Eigenmarken decken so ziemlich meinen täglichen Bedarf an Waren ab.
Edeka;4;Is halt so
Aldi Süd;4;Sauber und gute Qualität
Kaufland;5;nette Mitarbeiter , es ist sauber , große Auswahl
Kaufland;5;Im Großen und ganzen passt alles
Kaufland;4;alles gut
Norma;4;es könnte etwas sauberer sein vor allem der Boden und öfters geputzt. Die Ladenfläche könnte größer sein.
Rewe;5;...
Edeka;5;Große Auswahl zu jedem Preis
Rewe;4;Die Auswahl und die Qualität ist sehr gut, aber es kommt leider häufiger vor, das es nicht mehr das Gemüse gibt was ich gern hätte z.b. Blumenkohl
Lidl;5;Nah, nahbar, gute Parksituation, nettes Personal
Lidl;4;Sehr gute Qualität
Rewe;4;Manchmal gibt es nicht alles, was ich suche. z.T. ziemlich unaufgeräumt
Lidl;5;super Angebot, gute Preise, alles frisch, freundliche Mitarbeiter
Edeka;3;Es gibt immer etwas zu verbessern. Voll und ganz bedeutet Stillstand
Edeka;5;Alles ist in Ordnung dort
Rewe;5;Einfach geil
Rewe;5;sauber, ordentlich, freu ndlich und grosse Auswahl
Penny;5;Hat alles,is billig und nich weit weg.
Lidl;5;Super Angebot
Rewe;4;Gute Waren zu einem fairen günstigen Preis
Real;5;Günstige Preise
Kaufland;5;bekomme immer alles was ich brauche
Aldi Süd;5;sauber, freundlich
Norma;4;weil ich da fast alles bekomme
Real;4;ist okay
Edeka;5;Super nettes Personal, gepflegter Supermarkt , alles vorhanden , fühle mich da wohl
Edeka;5;Hier bekomme ich alles was ich benötige
Rewe;2;Das Personal ist bis auf wenige sehr unfreundlich, kaum Servicekräfte da, keine angenehme Stimmung
Rewe;4;schon 1 muffeliger MA bringt eine schlechtere Bewertung ein
Edeka;4;alles ist top
Rewe;4;angemessene preise und nettes personal
Penny;5;ich bekomme alles für den täglichen Bedarf in der Nähe
Aldi Süd;5;Gutes Sortiment, freundliche und schnelle Mitarbeiter, gut erreichbar
Lidl;3;...
Kaufland;4;Sehr suwriten
Norma;5;Ich bekomme meistens was ich will und brauche
Aldi Süd;4;Ist ok
Rewe;5;ich fühle mich wohl beim einkaufen, nette Mitarbeiter an den Bedientheken, gute Auswahl in allen Bereichen
Edeka;5;Sehr nettes Personal, angenehme Einkaufsatmosphäre, gutes Regionalangebot, probieren immer mal wieder neue Produkte im Sortiment aufzunehmen, ausreichend Parkplätze
Edeka;4;möchte mich nicht weiter äußern
Kaufland;3;Dauert lange
Rewe;4;Ja
Edeka;4;Die Azubis machen Chaos, sonst alles sehr gut
Rewe;5;alles ok
Rewe;5;Es ist preiswert und Sauber und die Personal ist freundlich.
Edeka;2;Ich kaufe regelmäßig in 2 Edeka Läden.Eins ist privat geführt und hat hochwertigere Artikel und regionales Fleisch. Dort kaufe ich Fleisch und FischDas andere hat ein normales Sortiment.Entsprechend Artikel kaufe ich dort
Lidl;5;bestes Obst- und Gemüseangebot
Lidl;4;Bekomme alles, was ich benötige
Rewe;4;Ich habe einen 3-Minuten-Weg mit dem Auto, bekomme dort alles frisch und günstig.
Mix Markt;3;Nein
Lidl;5;Freundlich und sauber
Real;5;Einmal hin, alles drinn.
Aldi Nord;4;Übersichtlich, Gutes Preis/Leistungsverhältnis
Netto (Rot);3;Bekomme alle Grundnahrungsmittel.
Netto (Rot);2;Es gibt Vieles jedoch nicht Alles. Die Filiale könnte gepflegter und moderner sein.
Famila;5;Alles ist übersichtlich und sauber.
Penny;5;billig,alles was ich brauche ist da,unkompliziert
Edeka;4;Übersicht, modern Marken, no Name
Kaufland;2;nichts
Edeka;5;ist immer sauber und frisch
Kaufland;5;ich bekomme alles auf einmal
Rewe;4;gute Angebote , nicht weit zu fahren
Netto (Rot);4;inder nähe und es ist alles da was ich brache
Netto (Rot);5;Weil die Leute sehr Freundlich sind
Kaufland;4;KINDER CARDS 128 GR
Rewe;2;Sehr freundlich und sehr gut sortiert
Edeka;4;Könnte mehr Auswahl haben
Netto (Rot);4;Darum
Kaufland;5;es hat alle Haushaltsprodukte die wir brauchen. auch es gibt gute Angebote, besonders samstagabends
Rewe;5;Ich bekomme alles was ich möchte und wenn ich etwas nicht auf Anhieb finde, bekomme ich es gezeigt oder gesagt wo ich es finde.
Tegut;4;njlköm
Aldi Nord;4;ich finde alles was ich brauche und zueinem gutem preis
Kaufland;5;Großes Sortiment, gute Aktionsangebote,freundliches Personal
Kaufland;4;Es ist manchmal zu voll und die Wartezeiten an der Kasse ist daher relativ lang
Netto (Rot);4;bekomme alles, ortsnahe
Rewe;4;bin zufrieden
Aldi Nord;4;--
Aldi Süd;4;Haben was Ich brauche
Penny;3;Wenig personal. Der Automat für die Pfandrückgabe ist regelmäßig voll
Netto (Rot);4;Atmosphäre gut
Aldi Süd;5;qualität
Lidl;4;Schlange an der Kasse
Rewe;5;Alles frisch-Bio-Große Auswahl
Rewe;5;Größer, gut organisierter Laden
Aldi Süd;4;Freundliches Personal, kenne mich dort aus
Netto (Rot);1;Schmutzig,faules gemüse und obst,abgelaufene wurst
Penny;4;sauber
Rewe;5;qualitative gute Angebote, Nähe des Marktes, freundliches Personal
Kaufland;4;Größe Auswahl, gute Preise, andere Kunden nicht immer so toll
Real;4;gute auswahl und preise
Lidl;5;gutes Sortiment, freundliches Personal
Real;5;ist groß und übersichtlich
Lidl;5;Große Auswahl und preiswert.
Penny;5;Freiheit und Qualitaet
Lidl;3;Auswahl und Sauberkeit ok
Rewe;4;Oft sind Artikel ausverkauft die im Angebot sind.
Globus;5;Unser Globus in Plattling ist eine hervorragende Einkaufsstätte.
Aldi Nord;3;Es ist nur ein kleiner aldiladen.noch nicht modernisiert.
Edeka;5;sauber , freundlich,
Netto (Rot);3;Im Grossen und Ganzen, bekomme ich dort, was ich brauche
Edeka;4;Oft wird nicht zeitnah aufgefüllt
Edeka;5;alles bestens
Rewe;5;frische Ware, gutes Sortiment, sauber, freundliches Personal
Globus;5;alles da
Kaufland;4;Zufrieden
Kaufland;3;Weil ich dort nicht alles bekomme.
Edeka;4;Gutes und vielfältiges Angebot, nicht ganz so preiswert wie z.B. Aldi
Rewe;4;Gute Auswahl
Rewe;5;Hervorragende Ladenaustattung, viele Sonderangebote, freundliches und kompetentes Personal.
Penny;4;freundlich aber stets unterbesetzt
Rewe;4;-
Lidl;3;filiale etwas zu klein
Netto (Rot);4;plus war besser
Edeka;5;Sehr gute Auswahl an regionalen Produkten
Aldi Nord;5;sie ist immer aufgeräumt und hübsch eingerichtet, ich mag die Mitarbeiter, es gibt keine Unruhe
Lidl;5;günstig, schöne Filialen, gutes Parken
Aldi Nord;5;hat das was ich brauche
Netto (Rot);4;an sich alles ok, nur Obst/Gemüse ist öfters nicht aufgefüllt
Lidl;4;Freundliches Petsonal
Real;4;große Auswahl, freundliches Personal, gute Qualität
Aldi Süd;5;gutes Sortiment sehr gute Frische
Rewe;4;Freundliches Personal ,Sauberkeit ,bekomme da fast alles
Globus;5;Es gibt alles zu moderaten Preisen
Aldi Süd;4;die Lebensmittel sind frisch und fast immer verfügbar, die Nonfood Artikel sind meistens in den ersten Angebotsstunden ausverkauft
Netto (Rot);5;zufrieden
Netto (Rot);4;Sehr übersichtlich.
Edeka;5;hat alles was ich brauche
Famila;5;gut erreichbar, übersichtlich, sauber, große Vielfalt
Alnatura;5;ich finde meist alles was ich brauche
Netto (Rot);4;eigenes Gefühl
Edeka;5;es gibt nichts zu meckern
Aldi Nord;3;Leider ist öfters das haltbarkeitsdatum, bei Fleisch und Wurst überschritten
Kaufland;4;mir fehlen große Einkaufswagen für Getränke! (Diese ohne großen Korb, mit Ladefläche unten). Und unsere Getränkeabteilung ist im OG, ich finde es unmöglich, mit schwerem Wagen die Rolltreppe runterzumüssen.
Rossmann;4;hohe qualtiät
Rewe;2;leider ist die Frische und die Auswahl nicht immer so toll und eher auf Klientel ausgelegt, die nicht so richtig kochen können. Auch die Fleischtheke lässt zu wünschen übrig und wenn man vorbestellen möchte, bekommt man schwammige Aussagen und keine konkreten Lieferzeiten. Allerdings ist das Personal ansonsten überwiegend freundlich und hilfsbereit.
Edeka;5;Umfangreiches Angebot und sehr gute Qualität.
Tegut;4;gutes Bioangebot, seit der Übernahme durch migros qualitativ und hinsichtlich der Auswahl schlechter
Netto (Rot);4;guenstig
Penny;4;Manche Sachen sind schnell ausverkauft.
Rewe;3;Bietet immer mehr Eigenmarken Produkte an, sodass weniger Platz für Vielfalt sei. Zudem vermehrt russische, arabische Produkte
Aldi Nord;1;Schnelles einkaufen möglich, alles was ich brauche
Rewe;4;ja
Aldi Nord;2;Früher war alles besser, jetzt findet man nichts mehr
Aldi Süd;4;Finde meistens alles, andere Geschäfte inder Nähe
Rewe;5;Tolles Angebot
Kaufland;4;Fleisch aus der Bedientheke ist qualitativ nicht so ansprechend, auch Käse schmeckt mir von Edeka besser
Kaufland;4;-
Lidl;4;Super Laden, top Preise aber Auswahl könnte in manchen Bereichen etwas größer sein
Lidl;4;Sauber freundlich
Edeka;4;Man bekommt alles was man braucht.
Kaufland;5;Da wird viel viel Essen verschwendet
Rewe;5;Immer frisch und hohe Qualität.
Edeka;5;finde alles fast wass ich brauche, gute preise, nette bedinungen
Netto (Rot);4;Kleine Filiale
Rewe;5;l
Kaufland;4;ist gut
Real;2;teilweise schlechte auswahl, teuer
Edeka;5;gute Auswahl, sauberer moderner Laden und viele Frische Produkte.
Rewe;5;Top Service
Globus;5;es gibt vieles
Edeka;5;immer toll
Kaufland;4;gutes angebot
Penny;5;Ich bekomme dort was ich brauche.
Edeka;5;günstige Preise, leicht erreichbar
Lidl;4;Stimme eher zu.
Netto (Rot);5;Keine Angabe
Combi;4;gute Angebote
Kaufland;5;gunstige preise
Aldi Süd;5;gute auswahl gute preise
Rewe;5;es gibt immer frische Ware und Angebote
Aldi Süd;5;weil es alles was man braucht in guter Qualität gibt
Penny;4;Hat alles für den täglichen Bedarf
Kaufland;5;es gibt alles was ich benötige, gut sortiert, frisch und preiswert
Globus;5;Preis-Leistung ist Sehr Gut
Lidl;4;gunstige preise
Rewe;4;gunstig
Rewe;4;ist sehr hochwertig
Rossmann;4;geil, ich meine die angeobte :)
Rewe;4;Top
Netto (Rot);3;Durch Umzug verkleinert. Laden und somit auch das Sortiment
Rewe;5;großzügiges ambiente
Rewe;5;Übersichtlich und alles da
Andere;5;Sehr nette Angestellte, sehr guter Service, große Auswahl, frisches Obst und Gemüse
Lidl;5;alles super
Kaufland;2;manchmal fehlen Produkte
Netto (Rot);5;Bekomme dort meist alles was ich brauche
Netto (Rot);2;Der Laden ist sehr unordentlich. Produkte sind nicht immer vorhanden. Das Personal ist unfreundlich.
Edeka;5;man wird immer freundlich behandelt, alles vorrätig,nettes personal
Kaufland;4;preis,  auswahl
Kaufland;4;Ich bekomme alles was ich brauche
Edeka;4;Bekomme alles frisch
Edeka;5;freundlich, gut sortiert
Penny;5;ist nah und günstig
Rewe;5;Die Produkte, die ich kaufe, sind günstig und qualitativ.
Edeka;4;Manchmal nicht schnell genug beim Aussortieren abgelaufener Ware
Rewe;4;freundliches Personal kurze Wartezeiten an der Kasse umfangreiche Produktpalette
Aldi Süd;4;Manchmal sind Produkte vergriffen und Aktionsware bereits ausverkauft.
Lidl;4;Günstig und schnell zu erreichen zu Fuß
Edeka;5;sehr freundliches personal, immer alles da, sauber
Andere;4;ist einfach zu erreichen und deckt den grundbedarf
Lidl;5;Ich stimme 100% zu
Lidl;4;nicht immer alles vorhanden
Kaufland;4;Alles da was ich brauche
Lidl;4;sehr viel auswahl und guter preis
Rewe;4;Diese Filiale hat sehr nette Mitarbeiter und eine Öffnungszeit bis 22 Uhr täglich aus diesem Grund besuche ich diese Filiale sehr oft
Aldi Nord;4;preiswert
Real;4;manchmal etwas durcheinander u Wartezeit an Kasse
Aldi Nord;5;Ist gut zu erreichen, hat alles was ich benötige.
Lidl;4;Mir gefällt besonders die Obst und Gemüse Abteilung.
Lidl;3;Kgigogozottot
Edeka;4;gute Qualität zu annhembaren Preisen
Netto (Rot);5;man bekommt alles was man braucht
Aldi Süd;5;Alles top ich mag die Produkte einfach
Kaufland;5;gute auswahl
Rewe;4;gute erfahrung
Edeka;5;Sauber gut rrreichbar
Rewe;5;ist o.k.
Andere;3;Gutes Sortiment, teilweise gute Angebote
Rewe;2;Chaos an den Kassen, es dauert zu lange um zu bezahlen, insb. wenn man wenig hat
Kaufland;4;gut zu erreichen, ausreichend Parkplätze übersichtlich, gibt alles, vernünftige Preise
Lidl;5;Gute Produkte, Personal ist freundlich und hilfsbereit.
Rewe;4;Breites Angebot, freundliche Bedienung, kurze Wartezeiten an der Kasse
Kaufland;3;Stimmt
Andere;4;sie ist gut erreichbar
Netto (Rot);3;Oftmals wdind Regale leer.
Lidl;1;Lidl hat gute Preise und Produkte ,ein besonderes Einkaufserlebnis
Rewe;5;hat grosse vielfalt
Rewe;4;sehr nett und hilfsbereit
Aldi Nord;4;alles was ich brauche
Norma;4;kauft sich gut ein
Edeka;5;weiß nicht
Edeka;4;N/A
Netto (Rot);4;Große auswahl
Edeka;5;Sauber, gut sortiert, gut erreichbar
Edeka;4;Verkäuferinnen sind immer nett und hilfsbereit
Penny;5;war bis jetzt immer zufrieden
Aldi Süd;5;Modern und gutes Sortiment
Rewe;4;Nettes Personal, gutes Sortiment
Rewe;5;Breites Sortiment
Edeka;5;Regional, freundlich,
Lidl;5;Preiswert,Günstige Angebote für Lebensmittel und Technik
Lidl;4;-
Lidl;4;gute Erreichbarkeit, gutes Angebot
Edeka;4;Angenehme Atmosphäre
Lidl;4;güntig und es gibt alles
Aldi Nord;5;Gute günstige Produkte
Lidl;5;Nette Mitarbeiter, frisches Obst & Gemüse
Netto (Rot);5;immer frisch und regional
Globus;4;eigentlich paßt Preis/Leistung und Angebot, leider in den letzten Monaten unzuverlässig was die Warenbesorgung und Regalbefüllung angeht!
Aldi Süd;4;Top
Rewe;3;es ist soweit alles in ordnung
Rewe;5;sie sind sauber und die MA sind freundlich
Edeka;5;gute Auswahl, toller Service, sehr freundliches Personal
Edeka;4;gute Ware
Aldi Süd;5;alles Gut
Rewe;2;Nette Mitarbeiter Immer alles vorrätig  Übersichtlich
Netto (Rot);4;manchmal fehlt das ein oder andere Angebot. Ansonsten übersichtlich und sauber
Aldi Nord;5;Gute Qualität und Preis
Edeka;4;gute Qualität und ist in der Nähe. Ich bekomme alles, was ich brauche
Lidl;5;Alle Produkte immer und in guter Qualität verfügbar
Edeka;4;fast immer top an Auswahl
Rewe;5;es ist alles verfügbar was man benötigt
Edeka;4;sauber, nettes personal, fast alles vorrätig
Kaufland;5;Großer Markt, viel Auswahl
Penny;4;Angestellte sind sehr freundlich und das sortmiment stimmt, es ist selten etwas ausverkauft
Rewe;5;Alles was man benötigt gibt es dort
Rewe;5;es ist immer alles u meiner Zufriedenheit
Aldi Nord;3;teilweise sind die Mitarbeiter ziemlich unfreundlich und nicht behilflich - z.b. das steht dahinten - wo dahinten - ja dahinten - aber kurz damit hingehen und zeigen ist nicht möglich - also muss man weiter alleine suchen - oder das müsste da stehen sonst haben wir das nicht mehr - steht dann irgenwo anders und ist dennoch gegen der aussage da
Netto (Rot);4;Hat viele tolle Eigenmarken, die gleich gut schmecken und trotzdem billiger sind. Relativ viel Auswahl und eine schöne Einrichtung
Kaufland;5;Alles da was ich brauche und preisgünstig
Penny;4;Schön Sauber, etwas zu klein und voll gestellt
Aldi Süd;4;gute Angebote
Aldi Süd;4;Gut
Rewe;4;bekomme alles was ich brauche und Personal sehr freundlich
Lidl;5;Breite Gänge  Nicht so dicht gedrängt wenn es voller ist
Rewe;4;nähe
Kaufland;5;sehr gute öffnungszeiten,freundliches hilfsbereites personal,gutes sortiment an bio produkten
Netto (Rot);5;Sauber,freundliches Personal
Lidl;5;Immer sauberer Markt, frische Produkte werden meist regelmäßig aufgefüllt, relativ gute Produktauswahl, Artikel so gut wie immer vorrätig (außer aktuelle Angebote natürlich).
Edeka;3;k.a.
Penny;4;Bißchen wuselig und manchmal unaufgeräumt (meist von den Kuzndenverursacht)
Denn's;4;…
Lidl;5;Top Preise
Aldi Süd;4;Nah gelegen, gute Auswahl. Es könnten mehr Parkplätze vorhanden sein.
Edeka;5;qualiät und der preis stimmt.Mitarbeiter freundlich
Rewe;4;Sie ist sehr nah und führt viele Bio-Produkte. Leider nimmt sie die Marken-Bio-Produkte immer mehr aus dem Sortiment was ich sehr schade finde
Aldi Süd;5;Liegt in der Nähe , sauber ,freundlich
Rewe;4;Es ist alles super bis auf die Auswahl von Joghurt und Pudding
Rewe;5;Weil sie Nähe ist und ich kriege alles was ich spontan zum Kochen brauche.
Rewe;4;bekomme fast alle Produkte in guter Auswahl
Norma;4;Es gibt alles was ich haben will.
Rewe;4;es sind nicht immer alle produkte vorrätig
Aldi Süd;4;Übersichtlich
Penny;5;in dieser Filiale stimmt alles. Das Personal ist Spitze, die Filiale ist sehr aufgeräumt und sauber und man bekommt von jedem Hilfe wenn man sie braucht
Kaufland;5;ich finde dort alles zu einem prima preis
Real;5;Die neue Innenausstattung ist gelungen, Einkauf macht mir Spaß.
Andere;4;Hat alles was man braucht. Die Filiale liegt günstig und hat genügend Parkplätze.
Tegut;5;Die Qualität der Waren ist hauptsächlich gut.
Lidl;4;Es könnte etwas aufgeräumter sein
Penny;5;für den täglichen Gebrauch gibt ein Grundsortiment
Famila;5;große Auswahl, viele regionale Produkte, frisches Obst und Gemüse, Fair trade Angbote
Penny;3;???
Netto (Rot);4;Oft fehlen die Angebote ,haben sie nicht bekommen
Markant;5;die Filiale ist für mich zu Fuß in 5 Minuten erreichbar. Ich bekomme dort alles was man zum Leben braucht.
DM;4;ich kaufe dort die meisten Bioartikel und bin zufrieden.
Aldi Süd;5;Viele Angebote, tolle Schnäppchen, großes Sortiment
Denn's;5;Ausreichend regionale Produkte zu top Qualitäten.
Lidl;3;k .vb -b
Lidl;4;Bekomme nicht immer meinen Milchersatz weil ausverkauft oder nicht nachgefüllt
Edeka;5;Im Edeka bekomme ich sämtliche Waren,die man sich für einen Haushalt wünscht und die kaum ein anderer Anbieter so wie Edeka anbietet.
Rewe;5;kein Bock
Lidl;5;bin zufrieden
Kaufland;4;finde meist alle Produkte, Angebote allerdings manchmal schon mittags am ersten Tag weg
Netto (Rot);4;Freudenliche Arbeiter
Edeka;2;Die Filialleiterin betreibt mehrere Edeka Filialen, sodass der hier vor Ort vernachlässig wird im Punkt Sortimentsgestaltung. Und das Fleisch an der wursttheke hat keine gute Qualität
Kaufland;5;gute auswahl
Norma;4;.
Edeka;3;zu weit weg
Rewe;5;Beim Rewe finde ich alles was ich brauche ...ist nicht teuer,Qualität stimmt und die Mitarbeiter sind sehr freundlich
Amazon;4;HAt alles und gute Rückgabe Regelung
Kaufland;5;weil ich dort alles bekomme
Lidl;5;Sauber, geordnet, man findet alles sofort
Kaufland;5;man kriegt alles was man braucht zu guten Preisen
Edeka;3;Unübersichtlich
Aldi Süd;5;gut , nah  ung günstig
Kaufland;4;Wie begründet?
Kaufland;3;die Ware wird morgens spät eingeräumt und überall stehen Paletten und Trollies im Weg
